system:index,data_source,date,groundwater_cm,month,variable,year,.geo
0,GLDAS,2018-01-15,242.72560958228482,1,SoilMoi100_200cm_inst,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,GLDAS,2018-02-15,241.75090598549488,2,SoilMoi100_200cm_inst,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,GLDAS,2018-03-15,244.2691754126007,3,SoilMoi100_200cm_inst,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,GLDAS,2018-04-15,245.56216485675554,4,SoilMoi100_200cm_inst,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,GLDAS,2018-05-15,246.26446921231664,5,SoilMoi100_200cm_inst,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,GLDAS,2018-06-15,245.02240581316974,6,SoilMoi100_200cm_inst,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,GLDAS,2018-07-15,248.19827299441212,7,SoilMoi100_200cm_inst,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,GLDAS,2018-08-15,254.96138110227582,8,SoilMoi100_200cm_inst,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,GLDAS,2018-09-15,254.71285251761014,9,SoilMoi100_200cm_inst,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,GLDAS,2018-10-15,248.94915861752435,10,SoilMoi100_200cm_inst,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,GLDAS,2018-11-15,244.53662891056823,11,SoilMoi100_200cm_inst,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,GLDAS,2018-12-15,242.1259745320422,12,SoilMoi100_200cm_inst,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,GLDAS,2019-01-15,240.58566308932234,1,SoilMoi100_200cm_inst,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,GLDAS,2019-02-15,242.11415176557352,2,SoilMoi100_200cm_inst,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,GLDAS,2019-03-15,248.19070344455628,3,SoilMoi100_200cm_inst,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,GLDAS,2019-04-15,253.2055454134619,4,SoilMoi100_200cm_inst,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,GLDAS,2019-05-15,253.41409392825366,5,SoilMoi100_200cm_inst,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,GLDAS,2019-06-15,251.58221330774035,6,SoilMoi100_200cm_inst,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,GLDAS,2019-07-15,251.61747926026223,7,SoilMoi100_200cm_inst,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,GLDAS,2019-08-15,262.5212120002374,8,SoilMoi100_200cm_inst,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,GLDAS,2019-09-15,263.47140373923327,9,SoilMoi100_200cm_inst,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,GLDAS,2019-10-15,259.32924466023496,10,SoilMoi100_200cm_inst,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,GLDAS,2019-11-15,254.1523154725911,11,SoilMoi100_200cm_inst,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,GLDAS,2019-12-15,252.09271410397469,12,SoilMoi100_200cm_inst,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,GLDAS,2020-01-15,255.165384926091,1,SoilMoi100_200cm_inst,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,GLDAS,2020-02-15,255.5156364338498,2,SoilMoi100_200cm_inst,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,GLDAS,2020-03-15,255.55790050921976,3,SoilMoi100_200cm_inst,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,GLDAS,2020-04-15,260.25608511383996,4,SoilMoi100_200cm_inst,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,GLDAS,2020-05-15,261.5525556466432,5,SoilMoi100_200cm_inst,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,GLDAS,2020-06-15,258.60570644958835,6,SoilMoi100_200cm_inst,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,GLDAS,2020-07-15,256.1142813948914,7,SoilMoi100_200cm_inst,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,GLDAS,2020-08-15,264.5472403138439,8,SoilMoi100_200cm_inst,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,GLDAS,2020-09-15,271.69653630129585,9,SoilMoi100_200cm_inst,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,GLDAS,2020-10-15,262.97012487554156,10,SoilMoi100_200cm_inst,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,GLDAS,2020-11-15,258.1178089897938,11,SoilMoi100_200cm_inst,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,GLDAS,2020-12-15,256.011269941559,12,SoilMoi100_200cm_inst,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,GLDAS,2021-01-15,253.96805388250152,1,SoilMoi100_200cm_inst,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,GLDAS,2021-02-15,252.06771787439087,2,SoilMoi100_200cm_inst,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,GLDAS,2021-03-15,251.04681533407967,3,SoilMoi100_200cm_inst,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,GLDAS,2021-04-15,250.33471923998223,4,SoilMoi100_200cm_inst,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,GLDAS,2021-05-15,249.41892305272253,5,SoilMoi100_200cm_inst,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,GLDAS,2021-06-15,248.44867958007714,6,SoilMoi100_200cm_inst,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,GLDAS,2021-07-15,247.79099348238086,7,SoilMoi100_200cm_inst,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,GLDAS,2021-08-15,255.6403522328084,8,SoilMoi100_200cm_inst,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,GLDAS,2021-09-15,259.4657823834525,9,SoilMoi100_200cm_inst,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,GLDAS,2021-10-15,257.5103971318112,10,SoilMoi100_200cm_inst,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,GLDAS,2021-11-15,252.7496016632109,11,SoilMoi100_200cm_inst,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,GLDAS,2021-12-15,248.60803195012886,12,SoilMoi100_200cm_inst,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,GLDAS,2022-01-15,248.46464216312714,1,SoilMoi100_200cm_inst,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,GLDAS,2022-02-15,249.44827102880188,2,SoilMoi100_200cm_inst,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,GLDAS,2022-03-15,248.62099403979823,3,SoilMoi100_200cm_inst,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,GLDAS,2022-04-15,247.51561398401233,4,SoilMoi100_200cm_inst,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,GLDAS,2022-05-15,245.832917316078,5,SoilMoi100_200cm_inst,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,GLDAS,2022-06-15,244.39961006905375,6,SoilMoi100_200cm_inst,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,GLDAS,2022-07-15,256.0862579482759,7,SoilMoi100_200cm_inst,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,GLDAS,2022-08-15,283.0249605257459,8,SoilMoi100_200cm_inst,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,GLDAS,2022-09-15,280.1122604852647,9,SoilMoi100_200cm_inst,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,GLDAS,2022-10-15,271.51915293022154,10,SoilMoi100_200cm_inst,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,GLDAS,2022-11-15,263.313148711739,11,SoilMoi100_200cm_inst,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,GLDAS,2022-12-15,257.9851659590588,12,SoilMoi100_200cm_inst,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,GLDAS,2023-01-15,254.2179427758698,1,SoilMoi100_200cm_inst,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,GLDAS,2023-02-15,252.16884543350974,2,SoilMoi100_200cm_inst,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,GLDAS,2023-03-15,251.10803820358825,3,SoilMoi100_200cm_inst,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,GLDAS,2023-04-15,251.18420683129963,4,SoilMoi100_200cm_inst,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,GLDAS,2023-05-15,250.38026021497174,5,SoilMoi100_200cm_inst,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,GLDAS,2023-06-15,250.50372162460206,6,SoilMoi100_200cm_inst,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,GLDAS,2023-07-15,262.9990228756361,7,SoilMoi100_200cm_inst,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,GLDAS,2023-08-15,274.72771912570994,8,SoilMoi100_200cm_inst,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,GLDAS,2023-09-15,267.0873136082674,9,SoilMoi100_200cm_inst,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,GLDAS,2023-10-15,260.3180277624548,10,SoilMoi100_200cm_inst,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,GLDAS,2023-11-15,254.54226379130918,11,SoilMoi100_200cm_inst,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,GLDAS,2023-12-15,250.78690799751507,12,SoilMoi100_200cm_inst,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,GLDAS,2024-01-15,247.97886125004428,1,SoilMoi100_200cm_inst,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,GLDAS,2024-02-15,246.3781246366567,2,SoilMoi100_200cm_inst,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
