system:index,date,groundwater_anomaly,system_time,.geo
20100131_20100227,2010-01-31,-4.674933429138316,1.264896E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100228_20100330,2010-02-28,-4.512287293054431,1.2673152E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100331_20100429,2010-03-31,-6.0995681796707,1.2699936E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100430_20100530,2010-04-30,-5.4395803662265285,1.2725856E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100531_20100629,2010-05-31,-5.3200302385231595,1.275264E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100630_20100730,2010-06-30,-5.620753106670108,1.277856E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100731_20100830,2010-07-31,1.0883399268556462,1.2805344E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100831_20100929,2010-08-31,0.620644403554465,1.2832128E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100930_20101030,2010-09-30,-1.3122301426238843,1.2858048E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101031_20101129,2010-10-31,-4.281767645220638,1.2884832E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20101130_20101230,2010-11-30,-3.749787707219746,1.2910752E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20110207_20110227,2011-02-07,-0.8254937550810862,1.2970368E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20110228_20110330,2011-02-28,-0.9949514496406402,1.2988512E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20110331_20110429,2011-03-31,-1.2672230582774842,1.3015296E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20110430_20110530,2011-04-30,-3.9935636059656043,1.3041216E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20110706_20110730,2011-07-06,-3.0295969232257356,1.3099104E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20110731_20110830,2011-07-31,-1.9534229195401618,1.3120704E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20110831_20110929,2011-08-31,1.9590338936608827,1.3147488E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20110930_20111030,2011-09-30,-1.5607943796748223,1.3173408E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20111016_20111115,2011-10-16,-1.93269597099025,1.3187232E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
